accuracy : 0.5, loss : 0.11521010100841522, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 
accuracy : 0.6350294796206098, loss : 0.0007329197833314538, index : 3900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6356535866033489, loss : 0.00045608385698869824, index : 4000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6357900512070225, loss : 0.006326810456812382, index : 4100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6356819804808376, loss : 0.18803346157073975, index : 4200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6354336200883514, loss : 0.32343223690986633, index : 4300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6345432856169053, loss : 0.009639437310397625, index : 4400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6345812041768498, loss : 0.007885255850851536, index : 4500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6342642903716585, loss : 0.18793536722660065, index : 4600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.633615188257818, loss : 0.0013028166722506285, index : 4700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6330712351593426, loss : 0.2703099846839905, index : 4800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6331105896755761, loss : 0.007397298235446215, index : 4900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6328734253149367, loss : 0.021421998739242554, index : 5000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.633062144677514, loss : 0.05209090933203697, index : 5100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6336281484329938, loss : 0.00025795921101234853, index : 5200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6339369930201849, loss : 0.0567919984459877, index : 5300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6343501203480838, loss : 0.003580284072086215, index : 5400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6346346118887484, loss : 0.0037663797847926617, index : 5500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6351321192644177, loss : 0.0969856008887291, index : 5600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6352832836344509, loss : 0.00018587365048006177, index : 5700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6353861403206357, loss : 0.08431953936815262, index : 5800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6348923911201506, loss : 0.0034689006861299276, index : 5900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6346650558240308, loss : 0.009260956197977066, index : 6000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6353876413702689, loss : 0.021323954686522484, index : 6100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6353410740203213, loss : 0.1003398522734642, index : 6200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6353356610061911, loss : 0.0871095359325409, index : 6300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6354085299172021, loss : 0.008611655794084072, index : 6400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.6353637901861264, loss : 0.04379787668585777, index : 6500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.75, loss : 0.01879984140396118, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7264851485148515, loss : 0.08783655613660812, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7394278606965172, loss : 5.066405037723598e-07, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7479235880398668, loss : 2.833777034538798e-05, index : 300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.750311720698254, loss : 0.0010414021089673042, index : 400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7467564870259479, loss : 0.010732662864029408, index : 500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7441763727121465, loss : 7.74884392740205e-06, index : 600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7423323823109842, loss : 5.960465898624534e-08, index : 700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7393882646691634, loss : 0.001334681874141097, index : 800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7384850166481686, loss : 0.00023236102424561977, index : 900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7407592407592406, loss : 2.622631882331916e-06, index : 1000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7397820163487737, loss : 0.023452648892998695, index : 1100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7402164862614488, loss : 0.2718748450279236, index : 1200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7390468870099929, loss : 9.24735504668206e-05, index : 1300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.740453247680229, loss : 8.983412408269942e-05, index : 1400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7371752165223191, loss : 3.058837683056481e-05, index : 1500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7386008744534671, loss : 0.0022088363766670227, index : 1600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7383156966490305, loss : 0.2087698131799698, index : 1700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7375069405885624, loss : 0.006313949823379517, index : 1800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7377038400841667, loss : 0.01653963513672352, index : 1900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7376311844077965, loss : 0.0021348821464926004, index : 2000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5, loss : 0.08976981043815613, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.75, loss : 0, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 4 

accuracy : 0.591584158415842, loss : 0, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 4 

accuracy : 0.6206467661691542, loss : 0, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 4 

accuracy : 0.0, loss : 0.4055830240249634, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6336633663366339, loss : 0.6309885382652283, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6368159203980105, loss : 0.14732979238033295, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6428571428571432, loss : 0.5450083017349243, index : 300, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.643391521197008, loss : 0.0054726991802453995, index : 400, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.640718562874252, loss : 0.03688161447644234, index : 500, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.635607321131448, loss : 0.16578727960586548, index : 600, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6412268188302434, loss : 0.019918983802199364, index : 700, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6410736579275911, loss : 0.023335296660661697, index : 800, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6387347391786908, loss : 0.44162213802337646, index : 900, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6458541458541464, loss : 0.25320979952812195, index : 1000, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6425976385104457, loss : 0.15797539055347443, index : 1100, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6452955870108247, loss : 0.08936796337366104, index : 1200, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6445042275172956, loss : 0.43610772490501404, index : 1300, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6423982869379024, loss : 0.16453199088573456, index : 1400, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6432378414390411, loss : 0.3147563338279724, index : 1500, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6436602123672713, loss : 0.04002341628074646, index : 1600, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6440329218107004, loss : 0.04258245229721069, index : 1700, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6440866185452534, loss : 0.13929057121276855, index : 1800, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6428195686480807, loss : 0.4148450195789337, index : 1900, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6419290354822595, loss : 0.3972102701663971, index : 2000, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6399333650642558, loss : 0.4816691279411316, index : 2100, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6397092230804187, loss : 0.026833754032850266, index : 2200, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6403737505432424, loss : 0.2916218638420105, index : 2300, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.640358184089963, loss : 0.0812336802482605, index : 2400, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6407437025189933, loss : 0.072586789727211, index : 2500, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6430219146482125, loss : 0.30079489946365356, index : 2600, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6432802665679387, loss : 0.37160828709602356, index : 2700, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6444127097465195, loss : 0.2709108889102936, index : 2800, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6425370561875222, loss : 0.1118544489145279, index : 2900, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.643452182605799, loss : 0.45357680320739746, index : 3000, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6426959045469208, loss : 0.07767017185688019, index : 3100, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6426116838487981, loss : 0.2434750199317932, index : 3200, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6419266888821578, loss : 0.42056748270988464, index : 3300, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6448103498970899, loss : 0.3739999830722809, index : 3400, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6449585832619259, loss : 0.3584100008010864, index : 3500, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6467647875590121, loss : 0.14216580986976624, index : 3600, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6469873007295333, loss : 0.3137785792350769, index : 3700, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6473296500920818, loss : 0.1207091435790062, index : 3800, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6472699307869784, loss : 1.6893916130065918, index : 3900, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6463384153961517, loss : 0.17607088387012482, index : 4000, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6471592294562308, loss : 0.13686712086200714, index : 4100, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6481790049988105, loss : 0.3032754063606262, index : 4200, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6472913275982337, loss : 0.25413626432418823, index : 4300, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6479209270620325, loss : 0.26232820749282837, index : 4400, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6490779826705186, loss : 0.18424047529697418, index : 4500, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6493153662247343, loss : 0.14459377527236938, index : 4600, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.649755371197618, loss : 0.10099245607852936, index : 4700, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.650177046448657, loss : 0.13532541692256927, index : 4800, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6514996939400123, loss : 0.21457858383655548, index : 4900, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6509698060387921, loss : 0.20231710374355316, index : 5000, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6514408939423639, loss : 0.2520925998687744, index : 5100, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6523745433570464, loss : 0.41878649592399597, index : 5200, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6522354272778714, loss : 0.13813073933124542, index : 5300, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6519163117941114, loss : 0.23852063715457916, index : 5400, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6530630794401012, loss : 0.5492968559265137, index : 5500, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6537225495447242, loss : 0.15242651104927063, index : 5600, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6533941413787057, loss : 0.11090557277202606, index : 5700, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6528184795724876, loss : 0.49211615324020386, index : 5800, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6537874936451455, loss : 0.23249736428260803, index : 5900, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6531411431428105, loss : 0.3665577173233032, index : 6000, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.653335518767416, loss : 0.12043506652116776, index : 6100, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6515884534752469, loss : 0.6477268934249878, index : 6200, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6525154737343282, loss : 0.20163407921791077, index : 6300, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6520856116231841, loss : 0.8211400508880615, index : 6400, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6519766189816955, loss : 0.1435626745223999, index : 6500, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6520224208453267, loss : 0.17268042266368866, index : 6600, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

accuracy : 0.6520668556931803, loss : 0.31879475712776184, index : 6700, learning_rate : 3e-06, reg : 1e-05, batch_size : 2 

