accuracy : 0.5152743142144637, loss : 0.10137051343917847, index : 400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 
accuracy : 0.5966877957325222, loss : 0.024368850514292717, index : 11200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5, loss : 0.14754928648471832, index : 0, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6424129353233836, loss : 0.0006471608649007976, index : 200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6384039900249382, loss : 0.01630719006061554, index : 400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6372712146422633, loss : 2.2510230337502435e-05, index : 600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6349875156054929, loss : 0.15382930636405945, index : 800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6403596403596402, loss : 0.020149534568190575, index : 1000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6432139883430472, loss : 0.05864635854959488, index : 1200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6418629550321195, loss : 8.521898416802287e-05, index : 1400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.642645221736413, loss : 0.03966420888900757, index : 1600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.625, loss : 0.123296819627285, index : 0, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5323383084577107, loss : 0.038367100059986115, index : 200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5395885286783039, loss : 0.04917418211698532, index : 400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5372296173044917, loss : 0.0457041896879673, index : 600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5461922596754059, loss : 0.04858142137527466, index : 800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5528221778221777, loss : 0.0449846051633358, index : 1000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5562031640299748, loss : 0.09929604083299637, index : 1200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5579942897930057, loss : 0.036267321556806564, index : 1400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.562695190505934, loss : 0.027806619182229042, index : 1600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5639228206551922, loss : 0.056657835841178894, index : 1800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5650299850074968, loss : 0.02810569666326046, index : 2000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5680372557928215, loss : 0.006305948831140995, index : 2200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5707517700957936, loss : 0.24899615347385406, index : 2400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5723760092272194, loss : 0.03133121132850647, index : 2600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5732774009282386, loss : 0.03014633245766163, index : 2800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5744335221592799, loss : 0.0006785148289054632, index : 3000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5755232739768823, loss : 0.058538131415843964, index : 3200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5753087327256701, loss : 0.042795050889253616, index : 3400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5766453762843663, loss : 0.009465892799198627, index : 3600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5783017626940288, loss : 0.04800689220428467, index : 3800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5787303174206456, loss : 0.01671183668076992, index : 4000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5804272792192345, loss : 0.11287405341863632, index : 4200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5817711883662814, loss : 0.005249770358204842, index : 4400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5823462290806359, loss : 0.10839082300662994, index : 4600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5831597583836711, loss : 0.028031721711158752, index : 4800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5836332733453328, loss : 0.03796128183603287, index : 5000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5846712170736413, loss : 0.0367003008723259, index : 5200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5848916867246824, loss : 0.10426671802997589, index : 5400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5851633636850584, loss : 0.024177424609661102, index : 5600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5854378555421506, loss : 0.4311629831790924, index : 5800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5858606898850214, loss : 0.038587115705013275, index : 6000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.586175616835997, loss : 0.012049988843500614, index : 6200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.586880956100612, loss : 0.1730857938528061, index : 6400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5876950462051236, loss : 0.10525748878717422, index : 6600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5886634318482595, loss : 0.004073489457368851, index : 6800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5892908155977731, loss : 0.04720247536897659, index : 7000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5899354256353296, loss : 0.10731247812509537, index : 7200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5904438589379826, loss : 0.065354123711586, index : 7400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5910735429548756, loss : 0.2701978385448456, index : 7600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5916068452762479, loss : 0.05857381597161293, index : 7800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5915041869766291, loss : 0.012346714735031128, index : 8000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5921381538836739, loss : 0.020694982260465622, index : 8200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5926080228544227, loss : 0.0012255364563316107, index : 8400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5922276479479139, loss : 0.03910570219159126, index : 8600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.592532098625157, loss : 0.08739803731441498, index : 8800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5930452171980897, loss : 0.09102532267570496, index : 9000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5935224432126951, loss : 0.08553293347358704, index : 9200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5942187001382836, loss : 0.022373709827661514, index : 9400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5944953650661394, loss : 0.0005398035864345729, index : 9600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5951943679216412, loss : 0.0021476836409419775, index : 9800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5955529447055292, loss : 0.0825570598244667, index : 10000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5960690128418786, loss : 0.02480887621641159, index : 10200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5965892702624753, loss : 0.0048394110053777695, index : 10400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5969484010942369, loss : 0.0817551538348198, index : 10600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5972826590130549, loss : 0.06262712925672531, index : 10800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5980819925461327, loss : 0.047933030873537064, index : 11000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5981831979287577, loss : 0.0014446614077314734, index : 11200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.5, loss : 0.1945505291223526, index : 0, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6753731343283579, loss : 0.01626262441277504, index : 200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6586658354114711, loss : 0.006150397472083569, index : 400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6539101497504158, loss : 0.0005121725844219327, index : 600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6510611735330828, loss : 0.2917517125606537, index : 800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6504745254745248, loss : 0.0016190125606954098, index : 1000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6536219816819321, loss : 0.0015535156708210707, index : 1200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6547109207708792, loss : 0.005217419471591711, index : 1400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6536539662710823, loss : 0.012506882660090923, index : 1600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6545669072737383, loss : 0.014629027806222439, index : 1800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6539855072463782, loss : 0.0020619563292711973, index : 2000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6520899591094965, loss : 0.008250443264842033, index : 2200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6501978342357361, loss : 0.07763085514307022, index : 2400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6495098039215689, loss : 0.020150242373347282, index : 2600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6491431631560164, loss : 0.002914565149694681, index : 2800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6484505164945016, loss : 0.05979878827929497, index : 3000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6489378319275226, loss : 1.4633797036367469e-05, index : 3200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6492208174066451, loss : 0.05392759293317795, index : 3400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6496459316856429, loss : 0.15642301738262177, index : 3600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6496974480399895, loss : 0.0002948615001514554, index : 3800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6495563609097725, loss : 0.00785425491631031, index : 4000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.649428707450607, loss : 0.0013636177172884345, index : 4200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6494830720290846, loss : 0.0008296949090436101, index : 4400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6502119104542496, loss : 0.012969163246452808, index : 4600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6499687565090606, loss : 0.017077919095754623, index : 4800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6508448310337923, loss : 4.618722960003652e-05, index : 5000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6509325129782728, loss : 0.005736428778618574, index : 5200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6510368450286974, loss : 0.0003629599523264915, index : 5400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6503526156043554, loss : 0.13976484537124634, index : 5600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6506636786760889, loss : 6.0185375332366675e-05, index : 5800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6507248791868006, loss : 0.03705506771802902, index : 6000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.650479761328817, loss : 0.0003930841921828687, index : 6200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6511287298859545, loss : 0.1099715605378151, index : 6400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.875, loss : 0.0006838935660198331, index : 0, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.662313432835821, loss : 0.05472930148243904, index : 200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6652119700748134, loss : 0.00012016109394608065, index : 400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6672212978369392, loss : 0.013715471141040325, index : 600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.665262172284645, loss : 0.07473008334636688, index : 800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6674575424575432, loss : 0.02711087465286255, index : 1000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.66736053288926, loss : 9.656325346441008e-06, index : 1200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6645253390435412, loss : 0.16101187467575073, index : 1400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6633354153653973, loss : 0.00298403762280941, index : 1600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6616463076068857, loss : 0.018392957746982574, index : 1800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6619190404797607, loss : 0.0006198355695232749, index : 2000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6624261699227629, loss : 0.0027768253348767757, index : 2200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6639941690962106, loss : 0.0014890331076458097, index : 2400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6642156862745097, loss : 0.0014995065284892917, index : 2600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6644948232774011, loss : 0.003939026966691017, index : 2800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6647784071976005, loss : 0.032815221697092056, index : 3000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6638159950015616, loss : 0.2076173722743988, index : 3200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6634813290208759, loss : 0.034824494272470474, index : 3400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6629408497639541, loss : 0.041935067623853683, index : 3600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6622599315969478, loss : 0.012472276575863361, index : 3800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6633029242689324, loss : 0.027866747230291367, index : 4000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6632349440609375, loss : 0.10612735152244568, index : 4200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.662889116109974, loss : 0.09592131525278091, index : 4400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6633883938274283, loss : 0.002911880612373352, index : 4600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6632212039158506, loss : 0.009269244968891144, index : 4800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6629924015196963, loss : 0.0032583067659288645, index : 5000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6625408575273988, loss : 0.011881555430591106, index : 5200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6625162007035729, loss : 0.0010489077540114522, index : 5400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6624486698803779, loss : 0.13871614634990692, index : 5600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.66238579555249, loss : 0.03903740271925926, index : 5800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6625145809031817, loss : 0.010324900038540363, index : 6000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6618892114175116, loss : 0.032855596393346786, index : 6200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.661576316200592, loss : 5.9499594499357045e-05, index : 6400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6612445084078153, loss : 0.015374683775007725, index : 6600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6614100867519467, loss : 0.3328229784965515, index : 6800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6606377660334223, loss : 5.2947587391827255e-05, index : 7000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6604638244688222, loss : 0.00013222085544839501, index : 7200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6608566409944587, loss : 0.00015904437168501318, index : 7400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6610314432311524, loss : 0.01190243475139141, index : 7600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6609409050121765, loss : 1.192093463942001e-07, index : 7800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6611986001749768, loss : 0.010302373208105564, index : 8000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6615656627240567, loss : 0.10436956584453583, index : 8200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6614837519342921, loss : 0.14661936461925507, index : 8400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.661274851761422, loss : 0.010328824631869793, index : 8600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6621974775593672, loss : 0.002499793656170368, index : 8800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6621486501499824, loss : 0.015340606682002544, index : 9000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6620068470818385, loss : 0.07457748055458069, index : 9200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6621237102435904, loss : 0.0025725115556269884, index : 9400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6620664514113107, loss : 1.8538419681135565e-05, index : 9600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.661590654014895, loss : 0.029269181191921234, index : 9800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6613463653634627, loss : 4.9563637730898336e-05, index : 10000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6609768650132339, loss : 0.004007347859442234, index : 10200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6608499182770886, loss : 7.973919127834961e-05, index : 10400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6610107537024811, loss : 1.4901162970204496e-08, index : 10600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6605985556892878, loss : 0.008586634881794453, index : 10800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6602922461594405, loss : 0.004351450130343437, index : 11000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6603093473796982, loss : 0.01933792233467102, index : 11200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.875, loss : 0.005083816591650248, index : 0, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.704601990049751, loss : 0.002887380076572299, index : 200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7010598503740649, loss : 0.016918238252401352, index : 400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6994592346089851, loss : 2.985804167110473e-05, index : 600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7033395755305865, loss : 0.0005975544336251915, index : 800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7064185814185812, loss : 4.321411324781366e-06, index : 1000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7078476269775186, loss : 0.0036410759203135967, index : 1200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.709493219129193, loss : 0.012320063076913357, index : 1400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7084634603372886, loss : 2.861055691028014e-06, index : 1600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7081482509716819, loss : 0.0002538828703109175, index : 1800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.707083958020989, loss : 0.00012869304919149727, index : 2000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7065538391640159, loss : 0.0014314192812889814, index : 2200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7067367763431904, loss : 0.0276698749512434, index : 2400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7052095347943104, loss : 3.278259725902899e-07, index : 2600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7052392002856122, loss : 1.8925908079836518e-05, index : 2800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7048067310896368, loss : 1.664570481807459e-05, index : 3000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7035301468291159, loss : 8.234858250943944e-05, index : 3200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7047192002352249, loss : 0.0006746569415554404, index : 3400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7041793946126076, loss : 0.0065356711857020855, index : 3600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7037292817679558, loss : 0.0004333159886300564, index : 3800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7033554111472132, loss : 0.0012398780090734363, index : 4000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7030171387764816, loss : 0.0011658102739602327, index : 4200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7035332878891164, loss : 0.264070063829422, index : 4400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7033525320582481, loss : 0.003233852796256542, index : 4600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7034732347427618, loss : 0.0018272007582709193, index : 4800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7028344331133773, loss : 0.007979282177984715, index : 5000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7017640838300316, loss : 0.0015854599187150598, index : 5200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7018607665247167, loss : 0.0013864199863746762, index : 5400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7018389573290479, loss : 0.0009464449831284583, index : 5600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7012153077055675, loss : 0.0021538082510232925, index : 5800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7006540576570562, loss : 0.00130773289129138, index : 6000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7003305918400249, loss : 8.651627285871655e-05, index : 6200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.699539134510232, loss : 0.000609233567956835, index : 6400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6990228753219201, loss : 0.04439561069011688, index : 6600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6993273048081157, loss : 0.0012818059185519814, index : 6800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6995250678474496, loss : 0.008526700548827648, index : 7000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6991216497708644, loss : 0.0006573916180059314, index : 7200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6991960545872172, loss : 0.007941707968711853, index : 7400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6991349822391784, loss : 0.002095781033858657, index : 7600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6986764517369561, loss : 0.0199141725897789, index : 7800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6982877140357449, loss : 0.18673034012317657, index : 8000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6985733447140586, loss : 0.1466076374053955, index : 8200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6982799666706337, loss : 0.0007132785394787788, index : 8400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6983926287640967, loss : 0.0003948406083509326, index : 8600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6977900238609248, loss : 0.033639270812273026, index : 8800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6972975224975003, loss : 0.02413763478398323, index : 9000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6971932398652316, loss : 0.008807830512523651, index : 9200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.697292841187108, loss : 8.058910316321999e-05, index : 9400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6972841370690555, loss : 0.008942547254264355, index : 9600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6971354963779198, loss : 0.004730289801955223, index : 9800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6967803219678027, loss : 0.0036541474983096123, index : 10000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6968189393196739, loss : 0.0022617951035499573, index : 10200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6966637823286206, loss : 4.874375008512288e-05, index : 10400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6964908970851797, loss : 0.2083074003458023, index : 10600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6964517174335699, loss : 0.011316685937345028, index : 10800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.6962662485228601, loss : 0.0021926849149167538, index : 11000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

